Player Full Name,PlayersID,Birth Date,Year Start,Year End,POS,Height (ft),Height (in),Height (cm),HeightwithoutShoes,Wingspan (cm),Standing Reach (cm),Hand Length (inches),Hand Lenght(cm),Hand Width (inches),Hand Width (cm),Weight (lb),Weight (kg),Body Fat (%),College,LaneAgilityTime_sec,ShuttleRun_sec,3quartersprint_sec,StandingVerticalLeap_inches,MaxVerticalLeap_inches,MaxBenchPress_reps,StandingVerticalLeap_cm,MaxVerticalLeap_cm
John Tresvant,4706,06/11/1939,1965,1973,F-C,6,7,200.66,197.66,,,,,,,215,97.52235955,,Seattle University,,,,,,,,
John Tschogl,4707,25/04/1950,1973,1975,F,6,6,198.12,195.12,,,,,,,206,93.44002822,,"University of California, Santa Barbara",,,,,,,,
John Turner,4708,30/11/1967,1992,1992,F,6,8,203.2,200.2,,,,,,,245,111.1301307,,Phillips University,,,,,,,,
John Vallely,4709,03/10/1948,1971,1972,G,6,3,190.5,187.5,,,,,,,185,83.91458845,,"University of California, Los Angeles",,,,,,,,
John Warren,4710,07/07/1947,1970,1974,G-F,6,3,190.5,187.5,,,,,,,180,81.6466266,,St. John's University,,,,,,,,
John Wetzel,4711,22/10/1944,1968,1976,G-F,6,5,195.58,192.58,,,,,,,190,86.1825503,,Virginia Polytechnic Institute and State University,,,,,,,,
John Williams,4712,26/10/1966,1987,1995,F-C,6,8,203.2,200.2,,,,,,,235,106.594207,,Louisiana State University,,,,,,,,
John Williamson,4713,10/11/1951,1974,1981,G,6,2,187.96,184.96,,,,,,,185,83.91458845,,New Mexico State University,,,,,,,,
John Windsor,4714,03/04/1940,1964,1964,F,6,8,203.2,200.2,,,,,,,215,97.52235955,,Stanford University,,,,,,,,
Johnny Austin,4715,31/08/1944,1967,1968,G,6,0,182.88,179.88,,,,,,,170,77.1107029,,Boston College,,,,,,,,
Johnny Bach,4716,10/07/1924,1949,1949,F-G,6,2,187.96,184.96,,,,,,,180,81.6466266,,Fordham University,,,,,,,,
Johnny Baum,4717,17/06/1946,1970,1974,F,6,5,195.58,192.58,,,,,,,200,90.718474,,Temple University,,,,,,,,
Johnny Cox,4718,01/11/1936,1963,1963,G,6,4,193.04,190.04,,,,,,,180,81.6466266,,University of Kentucky,,,,,,,,
Johnny Davis,4719,21/10/1955,1977,1986,G,6,2,187.96,184.96,,,,,,,170,77.1107029,,University of Dayton,,,,,,,,
Johnny Dawkins,4720,28/09/1963,1987,1995,G,6,2,187.96,184.96,,,,,,,165,74.84274105,,Duke University,,,,,,,,
Johnny Egan,4721,31/01/1939,1962,1972,G,5,11,180.34,177.34,,,,,,,180,81.6466266,,Providence College,,,,,,,,
Johnny Ezersky,4722,21/03/1922,1948,1950,F-G,6,3,190.5,187.5,,,,,,,175,79.37866475,,University of Rhode Island,,,,,,,,
Johnny Green,4723,08/12/1933,1960,1973,F-C,6,5,195.58,192.58,,,,,,,200,90.718474,,Michigan State University,,,,,,,,
Johnny Hemsley,4724,,,,SG,6,4,193,190,203,255,,,,0,200,90.718474,,,11.5,,3.19,31.5,35,5,80.01,88.9
Johnny High,4725,25/04/1957,1980,1984,G,6,3,190.5,187.5,,,,,,,185,83.91458845,,"University of Nevada, Reno",,,,,,,,
Johnny Horan,4726,24/11/1932,1956,1956,F,6,8,203.2,200.2,,,,,,,190,86.1825503,,University of Dayton,,,,,,,,
Johnny Jones,4727,12/03/1943,1968,1969,F,6,7,200.66,197.66,,,,,,,205,92.98643585,,"California State University, Los Angeles",,,,,,,,
Johnny Jorgensen,4728,28/12/1921,1948,1949,G-F,6,2,187.96,184.96,,,,,,,185,83.91458845,,DePaul University,,,,,,,,
Johnny Macknowsky,4729,07/01/1923,1950,1951,G-F,6,0,182.88,179.88,,,,,,,180,81.6466266,,Seton Hall University,,,,,,,,
Johnny Mathis,4730,14/07/1943,1968,1968,F,6,6,198.12,195.12,,,,,,,220,99.7903214,,Savannah State University,,,,,,,,
Johnny McCarthy,4731,25/04/1934,1957,1964,G,6,1,185.42,182.42,,,,,,,185,83.91458845,,Canisius College,,,,,,,,
Johnny Moore,4732,03/03/1958,1981,1990,G,6,1,185.42,182.42,,,,,,,175,79.37866475,,University of Texas at Austin,,,,,,,,
Johnny Neumann,4733,11/09/1951,1972,1978,G-F,6,6,198.12,195.12,,,,,,,200,90.718474,,University of Mississippi,,,,,,,,
Johnny Newman,4734,28/11/1963,1987,2002,F-G,6,7,200.66,197.66,,,,,,,190,86.1825503,,University of Richmond,,,,,,,,
Johnny Norlander,4735,05/03/1921,1947,1951,F,6,3,190.5,187.5,,,,,,,180,81.6466266,,Hamline University,,,,,,,,
Johnny Orr,4736,10/06/1927,1950,1950,F,6,3,190.5,187.5,,,,,,,195,88.45051215,,Beloit College,,,,,,,,
Johnny Payak,4737,20/11/1926,1950,1953,G-F,6,4,193.04,190.04,,,,,,,174,78.92507238,,Bowling Green State University,,,,,,,,
Johnny Rogers,4738,30/12/1963,1987,1988,F-C,6,10,208.28,205.28,,,,,,,225,102.0582833,,"University of California, Irvine",,,,,,,,
Johnny Simmons,4739,07/07/1924,1947,1947,G,6,1,185.42,182.42,,,,,,,184,83.46099608,,New York University,,,,,,,,
Johnny Taylor,4740,04/06/1974,1998,2000,F,6,9,205.74,202.74,,,,,,,220,99.7903214,,University of Tennessee at Chattanooga,,,,,,,,
Jon Diebler,4741,,,,SG,6,6.5,199,196,198,251,8.249999992,20.955,,20.955,196.6,89.17625994,0.085,,10.94,,3.37,28,35,2,71.12,88.9
Jon Koncak,4742,17/05/1963,1986,1996,C-F,7,0,213.36,210.36,,,,,,,250,113.3980925,,Southern Methodist University,,,,,,,,
Jon McGlocklin,4743,10/06/1943,1966,1976,G-F,6,5,195.58,192.58,,,,,,,205,92.98643585,,Indiana University,,,,,,,,
Jon Sundvold,4744,02/07/1961,1984,1992,G,6,2,187.96,184.96,,,,,,,170,77.1107029,,University of Missouri,,,,,,,,
Jonathan Kerner,4745,06/06/1974,1999,1999,C,6,11,210.82,207.82,,,,,,,245,111.1301307,,East Carolina University,,,,,,,,
Jontay Porter,4746,,,,C,6,11.5,212,208,214,277,8.749999991,22.225,,24.13,236,107.0477993,0.1385,,11.9,3.07,3.4,25.5,31,9,64.77,
Jordan Nwora,4747,,,,PF,6,7.5,202,197,210,262,8.499999991,21.59,,23.495,220,99.7903214,0.078,,,,,,,,,
Jordan Taylor,4748,,,,PG,6,2,188,185,191,235,8.249999992,20.955,,24.13,192.8,87.45260894,0.055,,10.57,,3.19,33,36.5,14,83.82,92.71
Jose Ortiz,4749,25/10/1963,1989,1990,F,6,10,208.28,205.28,,,,,,,225,102.0582833,,Oregon State University,,,,,,,,
Jose Slaughter,4750,09/09/1960,1983,1983,G,6,5,195.58,192.58,,,,,,,205,92.98643585,,University of Portland,,,,,,,,
Joseph Forte,4751,23/03/1981,2002,2003,G,6,4,193.04,192,199.39,255.27,,,,0,194,87.54332741,,University of North Carolina,11.51,,3.19,26.5,33,10,67.31,
Joseph Jones,4752,,,,PF,6,8.5,204,201,214,272,,,,0,240,108.8621688,0.122,,11.61,,3.33,25.5,31,16,64.77,
Josh Duncan,4753,,,,PF,6,8.5,205,203,212,266,,,,0,230,104.3262451,0.054,,12.47,,3.26,28,32,26,71.12,81.28
Josh Grant,4754,07/08/1967,1994,1994,F,6,9,205.74,202.74,,,,,,,223,101.1510985,,University of Utah,,,,,,,,
Josh Green,4755,,,,SF,6,5,196,195,207,258,7.999999992,20.32,,22.225,214,97.06876718,0.068,,,,,,,,,
Josh Heytvelt,4756,,,,C,6,11,211,208,217,274,,,,0,246.2,111.6744415,0.108,,11.67,,3.38,28.5,34,15,72.39,86.36
Joshua Hall,4757,,,,SF,6,7.5,202,198,211,266,8.749999991,22.225,,24.13,196.6,89.17625994,0.076,,,,,,,,,
JR Reynolds,4758,,,,PG,6,2.75,190,183,192,241,,,,0,188,85.27536556,0.082,,11.69,,3.24,27.5,34.5,15,69.85,
Juan Mendez,4759,,,,F,6,6.75,200,196,213,271,,,,0,231.4,104.9612744,,,11.7,,3.24,29,33,14,73.66,83.82
Jud Buechler,4760,19/06/1968,1991,2002,F-G,6,6,198.12,195.12,,,,,,,220,99.7903214,,University of Arizona,,,,,,,,
Julian Hammond,4761,27/05/1943,1968,1972,F,6,5,195.58,192.58,,,,,,,205,92.98643585,,University of Tulsa,,,,,,,,
Julian Sensley,4762,,,,F,6,8.5,204,201,212,268,,,,0,228,103.4190604,,,11.85,,3.32,27.5,31.5,8,69.85,
Julius Doc Robinson,4763,,,,PG,6,1.25,186,183,193,243,,,,0,184,83.46099608,,,12.54,,3.41,30,37.5,,76.2,95.25
Julius Erving,4764,22/02/1950,1972,1987,F-G,6,7,200.66,197.66,,,,,,,210,95.2543977,,University of Massachusetts Amherst,,,,,,,,
Julius Keye,4765,05/09/1946,1970,1975,F-C,6,10,208.28,205.28,,,,,,,200,90.718474,,Alcorn State University,,,,,,,,
Julius Nwosu,4766,01/05/1971,1995,1995,C,6,10,208.28,205.28,,,,,,,255,115.6660544,,Liberty University,,,,,,,,
Junior Bridgeman,4767,17/09/1953,1976,1987,F-G,6,5,195.58,192.58,,,,,,,210,95.2543977,,University of Louisville,,,,,,,,
Junior Burrough,4768,18/01/1973,1996,1996,F,6,8,203.2,200.2,,,,,,,242,109.7693535,,University of Virginia,,,,,,,,
Justin Doellman,4769,,,,PF,6,9,206,203,205,267,,,,0,205,92.98643585,0.07,,,,,,,19,,
Justin Love,4770,,,,G,6,2.75,190,187,195,248,,,,0,205.5,93.21323204,,,10.99,,3.31,31,38.5,24,78.74,97.79
Justus Thigpen,4771,13/08/1947,1970,1974,G,6,1,185.42,182.42,,,,,,,160,72.5747792,,Weber State University,,,,,,,,
K.C. Jones,4772,25/05/1932,1959,1967,G,6,1,185.42,182.42,,,,,,,200,90.718474,,University of San Francisco,,,,,,,,
Kahlil Whitney,4773,,,,SF,6,7,201,196,214,268,9.249999991,23.495,,26.035,205,92.98643585,0.053,,,,,,,,,
Kaleb Wesson,4774,,,,C,6,10.25,209,206,222,283,8.999999991,22.86,,27.305,252.6,114.5774327,0.125,,,,,,,,,
Kannard Johnson,4775,24/06/1965,1988,1988,F,6,9,205.74,202.74,,,,,,,220,99.7903214,,Western Kentucky University,,,,,,,,
Kareem Abdul-Jabbar,4776,16/04/1947,1970,1989,C,7,2,218.44,215.44,,,,,,,225,102.0582833,,"University of California, Los Angeles",,,,,,,,
Karim Mane,4777,,,,G,6,6,198,195,211,259,8.499999991,21.59,,24.765,196,88.90410452,0.0373,,,,,,,,,
Karim Shabazz,4778,,,,C,7,0.5,215,212,221,283,,,,0,224,101.6046909,,,12.72,,3.36,24.5,28,2,62.23,
Kebu Stewart,4779,19/12/1973,1998,1998,F,6,8,203.2,200.2,,,,,,,239,108.4085764,,"California State University, Bakersfield",,,,,,,,
Kei Madison,4780,,,,SF,6,9,206,203,215,272,,,,0,216,97.97595192,,,11.74,,3.22,27.5,34.5,6,69.85,
Keith Askins,4781,15/12/1967,1991,1999,G-F,6,7,200.66,197.66,,,,,,,197,89.35769689,,University of Alabama,,,,,,,,
Keith Booth,4782,09/10/1974,1998,1999,F,6,6,198.12,195.12,,,,,,,226,102.5118756,,University of Maryland,,,,,,,,
Keith Brumbaugh,4783,,,,F,6,8.5,205,202,202,266,,,,0,190,86.1825503,0.04,,11.65,,3.28,26,27,2,66.04,
Keith Closs,4784,03/04/1976,1998,2000,C,7,3,220.98,217.98,,,,,,,212,96.16158244,,Central Connecticut State University,,,,,,,,
Keith Edmonson,4785,28/09/1960,1983,1984,G,6,5,195.58,192.58,,,,,,,195,88.45051215,,Purdue University,,,,,,,,
Keith Erickson,4786,19/04/1944,1966,1977,F-G,6,5,195.58,192.58,,,,,,,195,88.45051215,,"University of California, Los Angeles",,,,,,,,
Keith Gallon,4787,,,,PF,6,9,206,204,225,278,9.249999991,23.495,,26.67,301.8,136.8941773,0.151,,13.44,,3.7,23.5,28.5,14,59.69,
Keith Herron,4788,14/06/1956,1979,1982,G-F,6,6,198.12,195.12,,,,,,,195,88.45051215,,Villanova University,,,,,,,,
Keith Jennings,4789,02/11/1968,1993,1995,G,5,7,170.18,167.18,,,,,,,160,72.5747792,,East Tennessee State University,,,,,,,,
Keith Lee,4790,28/12/1962,1986,1989,F-C,6,10,208.28,205.28,,,,,,,215,97.52235955,,University of Memphis,,,,,,,,
Keith McCord,4791,22/06/1957,1981,1981,G,6,7,200.66,197.66,,,,,,,210,95.2543977,,University of Alabama at Birmingham,,,,,,,,
Keith Owens,4792,31/05/1969,1992,1992,F,6,7,200.66,197.66,,,,,,,225,102.0582833,,"University of California, Los Angeles",,,,,,,,
Keith Smart,4793,21/09/1964,1989,1989,G,6,1,185.42,182.42,,,,,,,175,79.37866475,,Indiana University,,,,,,,,
Keith Smith,4794,09/03/1964,1987,1987,G,6,3,190.5,187.5,,,,,,,180,81.6466266,,Loyola Marymount University,,,,,,,,
Keith Starr,4795,14/03/1954,1977,1977,G-F,6,6,198.12,195.12,,,,,,,190,86.1825503,,University of Pittsburgh,,,,,,,,
Keith Swagerty,4796,30/10/1945,1969,1970,F,6,7,200.66,197.66,,,,,,,235,106.594207,,University of the Pacific,,,,,,,,
Keith Tower,4797,15/05/1970,1994,1997,C-F,6,11,210.82,207.82,,,,,,,250,113.3980925,,University of Notre Dame,,,,,,,,
Kelly McCarty,4798,24/08/1975,1999,1999,G-F,6,7,200.66,197.66,,,,,,,200,90.718474,,University of Southern Mississippi,,,,,,,,
Kelly Tripucka,4799,16/02/1959,1982,1991,F-G,6,6,198.12,195.12,,,,,,,220,99.7903214,,University of Notre Dame,,,,,,,,
Kelvin Pena,4800,,,,PG,6,3.75,192,189,199,253,,,,0,182,82.55381134,0.086,,11.5,,3.24,27.5,32.5,1,69.85,
Kelvin Ransey,4801,03/05/1958,1981,1986,G,6,1,185.42,182.42,,,,,,,170,77.1107029,,Ohio State University,,,,,,,,
Kelvin Upshaw,4802,24/01/1963,1989,1991,G,6,2,187.96,184.96,,,,,,,180,81.6466266,,University of Utah,,,,,,,,
Ken Austin,4803,15/07/1961,1984,1984,F,6,9,205.74,202.74,,,,,,,205,92.98643585,,Rice University,,,,,,,,
Ken Bannister,4804,01/04/1960,1985,1991,F-C,6,9,205.74,202.74,,,,,,,235,106.594207,,Saint Augustine's College,,,,,,,,
Ken Boyd,4805,25/03/1952,1975,1975,F,6,5,195.58,192.58,,,,,,,195,88.45051215,,Boston University,,,,,,,,
Ken Charles,4806,10/07/1951,1974,1978,G,6,3,190.5,187.5,,,,,,,180,81.6466266,,Fordham University,,,,,,,,
Ken Corley,4807,1899-12-31,1947,1947,C,6,5,195.58,192.58,,,,,,,210,95.2543977,,Oklahoma State Teachers College,,,,,,,,
Ken Durrett,4808,08/12/1948,1972,1975,F,6,7,200.66,197.66,,,,,,,190,86.1825503,,La Salle University,,,,,,,,
Ken Green,4809,19/09/1959,1986,1986,F,6,8,203.2,200.2,,,,,,,215,97.52235955,,University of Texas-Pan American,,,,,,,,
Ken Johnson Sr.,4810,07/11/1962,1986,1986,F,6,8,203.2,211,223.52,278.13,,,,0,240,102.965468,0.099,Michigan State University,11.27,,3.12,32.5,35,13,82.55,88.9
Ken Keller,4811,16/08/1922,1947,1947,G,6,1,185.42,182.42,,,,,,,180,81.6466266,,St. John's University,,,,,,,,
Ken Mayfield,4812,11/05/1948,1976,1976,G,6,2,187.96,184.96,,,,,,,185,83.91458845,,Tuskegee University,,,,,,,,
Ken McBride,4813,1899-12-31,1955,1955,G-F,6,3,190.5,187.5,,,,,,,190,86.1825503,,University of Maryland Eastern Shore,,,,,,,,
Ken Menke,4814,02/10/1922,1950,1950,G,6,0,182.88,179.88,,,,,,,168,76.20351816,,University of Illinois at Urbana-Champaign,,,,,,,,
Ken Murray,4815,20/04/1928,1951,1955,G-F,6,2,187.96,184.96,,,,,,,190,86.1825503,,St. Bonaventure University,,,,,,,,
Ken Norman,4816,05/09/1964,1988,1997,F,6,8,203.2,200.2,,,,,,,215,97.52235955,,University of Illinois at Urbana-Champaign,,,,,,,,
Ken Rohloff,4817,18/04/1939,1964,1964,G,6,0,182.88,179.88,,,,,,,195,88.45051215,,North Carolina State University,,,,,,,,
Ken Smith,4818,12/07/1953,1976,1976,F,6,7,200.66,197.66,,,,,,,185,83.91458845,,University of Tulsa,,,,,,,,
Ken Spain,4819,06/10/1946,1971,1971,C,6,9,205.74,202.74,,,,,,,225,102.0582833,,University of Houston,,,,,,,,
Ken Wilburn,4820,08/06/1944,1968,1969,F,6,6,198.12,195.12,,,,,,,195,88.45051215,,Central State University,,,,,,,,
Kendall Rhine,4821,13/02/1943,1968,1969,C,6,10,208.28,205.28,,,,,,,230,104.3262451,,Rice University,,,,,,,,
Kendall Williams,4822,,,,PG,6,4,193,189,196,251,7.999999992,20.32,,19.685,183,83.00740371,0.072,,10.83,2.85,,27,33,,68.58,
Kennard Winchester,4823,03/09/1966,1991,1993,G-F,6,5,195.58,192.58,,,,,,,210,95.2543977,,Averett University,,,,,,,,
Kenneth Gardner,4824,27/09/1949,1976,1976,F,6,5,195.58,192.58,,,,,,,205,92.98643585,,University of Utah,,,,,,,,
Kenny Adeleke,4825,,,,F,6,8,203,199,209,264,,,,0,250,113.3980925,0.105,,11.57,,3.47,28.5,30.5,26,72.39,77.47
Kenny Battle,4826,10/10/1964,1990,1993,F,6,6,198.12,195.12,,,,,,,210,95.2543977,,University of Illinois at Urbana-Champaign,,,,,,,,
Kenny Carr,4827,15/08/1955,1978,1987,F,6,7,200.66,197.66,,,,,,,220,99.7903214,,North Carolina State University,,,,,,,,
Kenny Dennard,4828,18/10/1958,1982,1984,F,6,8,203.2,200.2,,,,,,,220,99.7903214,,Duke University,,,,,,,,
Kenny Fields,4829,09/02/1962,1985,1988,F-G,6,5,195.58,192.58,,,,,,,220,99.7903214,,"University of California, Los Angeles",,,,,,,,
Kenny Gattison,4830,23/05/1964,1987,1996,F-C,6,8,203.2,200.2,,,,,,,225,102.0582833,,Old Dominion University,,,,,,,,
Kenny Green,4831,11/10/1964,1986,1987,F,6,6,198.12,195.12,,,,,,,210,95.2543977,,Wake Forest University,,,,,,,,
Kenny Gregory,4832,,,,SF,6,4.75,195,192,212,257,,,,0,200,90.718474,0.067,,11.33,,3.1,39.5,45.5,10,100.33,115.57
Kenny Higgs,4833,31/01/1955,1979,1982,G,6,0,182.88,179.88,,,,,,,180,81.6466266,,Louisiana State University,,,,,,,,
Kenny McIntosh,4834,21/01/1949,1972,1975,F,6,7,200.66,197.66,,,,,,,225,102.0582833,,Eastern Michigan University,,,,,,,,
Kenny Natt,4835,05/10/1958,1981,1985,G,6,3,190.5,187.5,,,,,,,185,83.91458845,,University of Louisiana at Monroe,,,,,,,,
Kenny Payne,4836,25/11/1966,1990,1993,F-G,6,8,203.2,200.2,,,,,,,195,88.45051215,,University of Louisville,,,,,,,,
Kenny Rollins,4837,14/09/1923,1949,1953,G,6,0,182.88,179.88,,,,,,,168,76.20351816,,University of Kentucky,,,,,,,,
Kenny Sailors,4838,14/01/1921,1947,1951,G,5,10,177.8,174.8,,,,,,,175,79.37866475,,University of Wyoming,,,,,,,,
Kenny Satterfield,4839,10/04/1981,2002,2003,G,6,2,187.96,185,194.31,248.92,,,,0,186,79.83225712,0.067,University of Cincinnati,12.05,,3.2,28.5,33,3,72.39,83.82
Kenny Sears,4840,17/08/1933,1956,1964,F,6,9,205.74,202.74,,,,,,,198,89.81128926,,Santa Clara University,,,,,,,,
Kenny Smith,4841,08/03/1965,1988,1997,G,6,3,190.5,187.5,,,,,,,170,77.1107029,,University of North Carolina,,,,,,,,
Kenny Walker,4842,18/08/1964,1987,1995,F,6,8,203.2,200.2,,,,,,,210,95.2543977,,University of Kentucky,,,,,,,,
Kenny Williams,4843,09/06/1969,1991,1994,F,6,9,205.74,202.74,,,,,,,205,92.98643585,,Elizabeth City State University,,,,,,,,
Kent Benson,4844,27/12/1954,1978,1988,C,6,10,208.28,205.28,,,,,,,235,106.594207,,Indiana University,,,,,,,,
Kenton Edelin,4845,24/05/1962,1985,1985,F,6,8,203.2,200.2,,,,,,,205,92.98643585,,University of Virginia,,,,,,,,
Kentrell Gransberry,4846,,,,C,6,8,203,200,209,270,,,,0,290,131.5417873,0.174,,12.16,,3.32,24.5,27.5,18,62.23,
Kenyon Jones,4847,,,,PF,6,10,208,205,216,274,,,,0,282,127.9130483,,,12.44,,3.6,28.5,30,20,72.39,76.2
Kermit Washington,4848,17/09/1951,1974,1988,F-C,6,8,203.2,200.2,,,,,,,230,104.3262451,,American University,,,,,,,,
Kevin Brooks,4849,12/10/1969,1992,1994,F,6,6,198.12,195.12,,,,,,,200,90.718474,,University of Louisiana at Lafayette,,,,,,,,
Kevin Duckworth,4850,01/04/1964,1987,1997,C,7,0,213.36,210.36,,,,,,,275,124.7379018,,Eastern Illinois University,,,,,,,,
Kevin Edwards,4851,30/10/1965,1989,2001,G,6,3,190.5,187.5,,,,,,,190,86.1825503,,DePaul University,,,,,,,,
Kevin Gamble,4852,13/11/1965,1988,1997,F-G,6,5,195.58,192.58,,,,,,,210,95.2543977,,University of Iowa,,,,,,,,
Kevin Grevey,4853,12/05/1953,1976,1985,G-F,6,5,195.58,192.58,,,,,,,210,95.2543977,,University of Kentucky,,,,,,,,
Kevin Henderson,4854,22/03/1964,1987,1988,G,6,4,193.04,190.04,,,,,,,195,88.45051215,,"California State University, Fullerton",,,,,,,,
Kevin Johnson,4855,04/03/1966,1988,2000,G,6,1,185.42,182.42,,,,,,,180,81.6466266,,University of California,,,,,,,,
Kevin Joyce,4856,27/06/1951,1974,1976,G,6,3,190.5,187.5,,,,,,,190,86.1825503,,University of South Carolina,,,,,,,,
Kevin Kunnert,4857,11/11/1951,1974,1982,C-F,7,0,213.36,210.36,,,,,,,230,104.3262451,,University of Iowa,,,,,,,,
Kevin Loder,4858,15/03/1959,1982,1984,F-G,6,6,198.12,195.12,,,,,,,205,92.98643585,,Alabama State University,,,,,,,,
Kevin Loughery,4859,28/03/1940,1963,1973,G,6,3,190.5,187.5,,,,,,,190,86.1825503,,St. John's University,,,,,,,,
Kevin Lynch,4860,24/12/1968,1992,1993,G-F,6,5,195.58,192.58,,,,,,,195,88.45051215,,University of Minnesota,,,,,,,,
Kevin McHale,4861,19/12/1957,1981,1993,F-C,6,10,208.28,205.28,,,,,,,210,95.2543977,,University of Minnesota,,,,,,,,
Kevin McKenna,4862,08/01/1959,1982,1988,G-F,6,5,195.58,192.58,,,,,,,195,88.45051215,,Creighton University,,,,,,,,
Kevin O'Shea,4863,10/07/1925,1951,1953,G,6,2,187.96,184.96,,,,,,,175,79.37866475,,University of Notre Dame,,,,,,,,
Kevin Pittsnogle,4864,,,,PF,6,10.25,209,206,210,270,,,,0,259.2,117.5711423,,,,,,,,,,
Kevin Porter,4865,17/04/1950,1973,1983,G,6,0,182.88,179.88,,,,,,,170,77.1107029,,Saint Francis University,,,,,,,,
Kevin Restani,4866,23/12/1951,1975,1982,F-C,6,9,205.74,202.74,,,,,,,225,102.0582833,,University of San Francisco,,,,,,,,
Kevin Salvadori,4867,30/12/1970,1997,1998,C,7,0,213.36,210.36,,,,,,,231,104.7798375,,University of North Carolina,,,,,,,,
Kevin Stacom,4868,04/09/1951,1975,1982,G,6,3,190.5,187.5,,,,,,,185,83.91458845,,Providence College,,,,,,,,
Kevin Thompson,4869,07/02/1971,1994,1994,C-F,6,11,210.82,207.82,,,,,,,260,117.9340162,,North Carolina State University,,,,,,,,
Kevin Williams,4870,11/09/1961,1984,1989,G,6,2,187.96,184.96,,,,,,,175,79.37866475,,St. John's University,,,,,,,,
Keydren Clark,4871,,,,PG,5,10,178,176,189,235,,,,0,184,83.46099608,0.116,,11.03,,3.11,31,34,13,78.74,86.36
Khalid El-Amin,4872,25/04/1979,2001,2001,G,5,10,177.8,176,186.69,236.22,,,,0,200,90.718474,,University of Connecticut,10.59,,3.32,27.5,32,6,69.85,
Khalid Reeves,4873,15/07/1972,1995,2000,G,6,3,190.5,187.5,,,,,,,199,90.26488163,,University of Arizona,,,,,,,,
Kiki Vandeweghe,4874,01/08/1958,1981,1993,F,6,8,203.2,200.2,,,,,,,220,99.7903214,,"University of California, Los Angeles",,,,,,,,
Killian Tillie,4875,,,,PF,6,10,208,205,203,270,8.249999992,20.955,,23.495,221.6,100.5160692,0.1243,,,,,,,,,
Kim Anderson,4876,12/05/1955,1979,1979,F,6,7,200.66,197.66,,,,,,,200,90.718474,,University of Missouri,,,,,,,,
Kim Hughes,4877,04/06/1952,1976,1981,C,6,11,210.82,207.82,,,,,,,220,99.7903214,,University of Wisconsin,,,,,,,,
Kirk Haston,4878,10/03/1979,2002,2003,F,6,9,205.74,203,213.995,269.24,,,,0,242,109.7693535,0.105,Indiana University,12.25,,3.35,27,31.5,11,68.58,
Kiwane Garris,4879,24/09/1974,1998,2000,G,6,2,187.96,184.96,,,,,,,183,83.00740371,,University of Illinois at Urbana-Champaign,,,,,,,,
Kleggie Hermsen,4880,12/03/1923,1947,1953,C-F,6,9,205.74,202.74,,,,,,,225,102.0582833,,University of Minnesota,,,,,,,,
Korleone Young,4881,31/12/1978,1999,1999,F,6,7,200.66,197.66,,,,,,,213,96.61517481,,,,,,,,,,
Kornel David,4882,22/10/1971,1999,2001,F,6,9,205.74,202.74,,,,,,,235,106.594207,,,,,,,,,,
Kris Wilkes,4883,,,,SF,6,7.5,202,199,209,263,8.749999991,22.225,,23.495,205,92.98643585,0.0515,,11.29,3.16,3.24,28,35.5,1,71.12,90.17
Kurk Lee,4884,03/06/1967,1991,1991,G,6,3,190.5,187.5,,,,,,,190,86.1825503,,Towson University,,,,,,,,
Kurt Nimphius,4885,13/03/1958,1982,1990,C-F,6,10,208.28,205.28,,,,,,,218,98.88313666,,Arizona State University,,,,,,,,
Kurt Rambis,4886,25/02/1958,1982,1995,F,6,8,203.2,200.2,,,,,,,213,96.61517481,,Santa Clara University,,,,,,,,
Kyle Hines,4887,,,,F,6,5,196,193,217,266,,,,0,234,106.1406146,0.036,,12.17,,3.4,28.5,33,16,72.39,83.82
Kyle Macy,4888,09/04/1957,1981,1987,G,6,3,190.5,187.5,,,,,,,175,79.37866475,,University of Kentucky,,,,,,,,
Kyle Visser,4889,,,,C,6,11.5,212,208,211,274,,,,0,242,109.7693535,0.102,,12.6,,3.39,26,29,18,66.04,
LaBradford Smith,4890,03/04/1969,1992,1994,G,6,3,190.5,187.5,,,,,,,200,90.718474,,University of Louisville,,,,,,,,
LaceDarius Dunn,4891,,,,SG,6,4.5,194,191,199,257,8.999999991,22.86,,26.035,187.8,85.18464709,0.055,,11.45,,3.27,26.5,31,3,67.31,
Lamar Green,4892,22/03/1947,1970,1975,F-C,6,7,200.66,197.66,,,,,,,210,95.2543977,,Morehead State University,,,,,,,,
Lamar Stevens,4893,,,,F,6,6.75,200,197,205,257,8.499999991,21.59,,24.765,228,103.4190604,0.068,,,,,,,,,
Lamont Barnes,4894,,,,PF,6,9.5,207,204,222,274,,,,0,235.5,106.8210031,,,12.3,,3.4,28,29.5,10,71.12,74.93
Lamont Strothers,4895,10/05/1968,1992,1993,G,6,4,193.04,190.04,,,,,,,190,86.1825503,,Christopher Newport University,,,,,,,,
Lanard Copeland,4896,16/07/1965,1990,1992,G,6,6,198.12,195.12,,,,,,,190,86.1825503,,Georgia State University,,,,,,,,
Lancaster Gordon,4897,24/06/1962,1985,1988,G,6,3,190.5,187.5,,,,,,,185,83.91458845,,University of Louisville,,,,,,,,
Lance Blanks,4898,09/09/1966,1991,1993,G,6,4,193.04,190.04,,,,,,,190,86.1825503,,University of Texas at Austin,,,,,,,,
